Conditions,Outcome Measures
Covid19|Myocardial Injury|Cardiovascular Diseases|Heart Failure|Cardiovascular Morbidity,"Cardiovascular mortality|All-cause mortality|Major adverse cardiovascular events (myocardial infarction, cerebrovascular accident, hospitalizations due to heart failure, revascularizations, cardiovascular mortality)|NYHA class|Left ventricular systolic function (cardiac magnetic resonance, echocardiography)"
Covid19|Nasopharyngitis|Anosmia|Fever|Myalgia|Cough|Nasal Congestion,"Day of response to treatment from baseline to end of treatment (up to two weeks) - decrease in the average score of the symptom assessed by the patient (VAS, 0-10 points for each symptom) by 50% compared to baseline.|Symptom Dynamics (assessed by patients)"
Covid19|Neurocognitive Dysfunction,Cognitive health assessment (NeuroTrax)|Brain perfusion|Brain microstructure Brain microstructure|Brain function imaging|Post-COVID-19 symptom|Quality of Life SF-36|The Pittsburgh Sleep Quality Index PSQI|The Brief Symptom Inventory - 18 (BSI-18)|BPI - Brief pain inventory (short form)|Neuro-physical evaluation|Neurological evaluation|Smell and taste evaluations.|Cardiopulmonary exercise test|Echocardiography|Lung functions test|Immune system
Covid19|Neurologic Manifestations|Psychiatric Manifestations,dosage of seric markers (anti-SARS-CoV2 IgG) or genetic markers (genetic variants) observed during COVID 19 infection in patients|Serum neurofilaments
Covid19|Neurological Complication,Intensity of the emotional response to hypoxic exposure (14.3 et 12.7% FIO2)|Perception of a hypoxic stimulus induced dyspnea (14.3 et 12.7% FIO2)|Perception of a hypercapnic stimulus induced dyspnea (7% CO2)|Perception of a inspiratory mechanical constraint induced dyspnea|brain MRI
Covid19|Neurological Manifestations|Brain Damage,Variation from baseline of MRI radiological semiology in COVID-19 patients
Covid19|Non Ischemic Myocardial Injury|Myocardial Infarction|Myocarditis|Troponin Elevation,characterize the myocardial damage associated with CoV-2 SARS infection
Covid19|Non-specific Effects of Vaccines|Heterologous Immunity|Morbidity|Immunosenescence|Vaccine Preventable Disease,Acute infection|SARS-CoV-2 infection|Self-reported respiratory illness
Covid19|Nosocomial Infection,Requirement for mechanical ventilation or in-hospital death|In-hospital death|Need for mechanical ventilation|Need for new intensive care admission|Need for new oxygen administration
Covid19|Novel Coronavirus Pneumonia|Acute Respiratory Distress Syndrome,"Measure and report the number of participants with treatment-related-adverse events as assessed by CTCAE v4.0; for patients receiving ARDOXSO™, perinatal MSC-derived exosome therapy.|Tabulate and report the number of IMV days for patients receiving ARDOXSO™ perinatal MSC-derived exosome therapy.|Analyze and report organ failure, associated with ICU mortality in participants confirmed with SARS-CoV2 infection, receiving ARDOXSO™ as an interventional exosome therapy.|Record and analyze respiratory measures (Berlin Score/PEEP) following treatment regime."
Covid19|Nursing Home,Identification of factors associated with the occurrence of COVID-19 outbreak in French Alps' nursing homes
Covid19|Obesity|Diabetes Mellitus|Aging|Cardiometabolic Syndrome|Immune System Disorder,Correlation of Body Mass Index with Clinical Disease Severity|Correlation of Visceral Fat with Clinical Disease Severity|Correlation of Blood Glucose Levels with Clinical Disease Severity|Correlation of HbA1c with Clinical Disease Severity|Changes of Insulin Resistance Levels in COVID-19 Patients Overtime|Changes of Leptin/Adiponectin Ratio in COVID-19 Patients Overtime|Systemic Immune Profiles in Diabetic COVID-19 Patients|Nasal Mucosal Immune Profiles in Diabetic COVID-19 Patients|Aging Parameter (ACE-2 gene expression) in COVID-19 Patients|Aging Parameter (Telomere Length) in COVID-19 Patients|Immune Cells Exhaustion in COVID-19 Patients|Changes of Pro-Inflammatory Cytokine (IL-6) in COVID-19 Patients|Changes of Anti-Inflammatory Cytokine (IL-10) in COVID-19 Patients|Antibody Kinetics in COVID-19 Patients|Proportion of Long COVID Syndrome
"Covid19|Obesity|Overweight|Pneumonia, Viral",Primary outcome|Demographic and laboratory characteristics|Body mass index as a predictor|Body mass index and HFNC success|Mortality|Hospital stay.
Covid19|Obstetric Anesthesia,obstetric anesthesia practices|anesthesia complications
Covid19|Obstetric Complication|SARS-CoV Infection|Preterm Birth|Miscarriage|Placenta Diseases,"Preterm birth rate|Gestational age at delivery|Preterm birth rates|Birth weight|Composite adverse neonatal outcomes|Maternal outcomes|Inflammatory markers: coagulation profile, C-reactive protein, glycaemia, ferritinemia"
"Covid19|Old Age; Debility|Morbidity, Multiple",All-cause mortality during hospital admission (admission up to discharge time)|Prevalence of medical diseases and geriatric syndromes
Covid19|Oncology|PROMs|Chemotherapeutic Toxicity,Patient-Reported Outcomes-Common Terminology Criteria for Adverse Events (PRO-CTCAE)|5-level EQ-5D version (EQ5D5L)|Covid-19 triage questionnaire|COVID-19 questionnaire|COVID-19 Peritraumatic Distress Index (CPDI)|Patient satisfaction
Covid19|Ophthalmopathy|Eye Diseases,Co-relation of COVID-19 activity
"Covid19|Organ Failure, Multiple|DNA Damage",single-stranded DNA breaks|oxidation of DNA bases|Mortality
"Covid19|Outcome, Fatal|Respiratory Failure|Acute Kidney Injury|Inflammation","In-hospital incidence of death, need for mechanical ventilation and need for renal replacement therapy|Length of Hospitalization|Acute Kidney Injury|Cardiovascular Events|Death|Need for renal replacement therapy|Need for mechanical ventilation"
Covid19|Pain|Muscle Atrophy,Change in muscle function|muscle fatigue|Change in tissue oxygen saturation|Ankle circumference|Thigh circumference|Foot circumference|Venous Return Flow|Frailty|Length of stay|Major adverse events|instrumental activities of daily living scale|Community engagement Scale|Depression scale|Weight loss|Neuropathy|Change in muscle strength
Covid19|Pediatric ALL|Infection|Critical Illness|SARS-CoV Infection,Number of patient with secondary infection|Number of patients dying|Description of clinical phenotypes|Description of immunological phenotypes
Covid19|Pediatric Psychiatric Disorder|Psychological Stress,Change of Emotional Outcome|Change of Knowledge Outcome|Baseline Behavior of the Participants|Nationality of parents|First language of parents|Highest degree of school education|Profession of the parents|Financial standing of the parents|Housing conditions of the family|Psychological or physical illness in the family
Covid19|Periodontitis,Oral microbial signature|Nasal microbial signature
Covid19|Personal Protective Equipment,Proportion of participants and simulated patients with contamination as assessed by ultraviolet light|Participants' perception of personal comfort and safety and safety of the patients as assessed through structured questionnaire|changes in participants perception of personal comfort and safety and safety of patients as assessed through a semi-structured questionnaire|The difference in the area of contamination between New and Standard PPE as analyzed through python script
Covid19|Physical Disability,"Upper limb strength change|Physical Performance change|Walking speed change|lower limb strength change|Fraility change, Gait speed|Motor function|Glucose control|Skeletal muscle mitochondrial function|Vascular function"
Covid19|Pneumonia,"Percentage of patients requirement mechanical ventilation|Percentage of patients with PaO2 to Fi02 ratio > 300|Lengths of hospital-stay|Mortality rate, Number of antibiotic free days|Mortality rates|Number of defined daily dose (DDD) per 100 patient-days of broad- and narrow-spectrum antibiotics.|Antibiotics duration at D28|Number of organ-failure free days (based on SOFA)|Incidence rates of bacterial super-infections|Incidence rates of colonization/infection with multidrug resistant bacteria and Clostridium difficile infections|ICU and hospital lengths of stay|Quality of life Quality of life, Percentage of clinical cure in each arm, Secondary hospitalization(s) or death COVID-19 related|severity of COVID-19 disease|patient satisfaction with management strategies|Saved costs, Period duration (in days) to clinical improvement|O2 saturation (SPO2 percentage), with self-breathing|Respiratory movements rate (amount per minute), with self-breathing|Body temperature without antipyretics use|Lymphocyte count|Time from the onset of the disease to discharge, in days|Duration of the need for ventilatory support, in days|Duration of the need for intensive care, in days|Duration of need for oxygenation in days (SPO2 ≤ 93% with self-breathing)|The C-reactive protein (CRP) level|The tumor necrozis factor alpha (TNF-α) level|The interleukin-1β (IL-1β) level|The interleukin-6 (IL-6) level|The D-dimer level|The Complement (C3 component) level|The Circulating immune complexes level|The ferritin level|The procalcitonin level|IgG subtypes|Survival assessment for a 28-day follow-up period since the onset of severe pneumonia"
"Covid19|Pneumonia, Viral","Need for mechanical ventilation at day 28|Hospital length of stay|Average daily SaO2/FiO2, Hemodynamic effect, Occurrence of an escalation in respiratory related care (yes vs no)|Oxygen Saturation|Respiratory Effort as assessed by Respiratory Rate, Dosimetry. Transition coefficients calculation of count rate to absolutely activity of 99mTc-pertechnetate in ROI.|Dosimetry. Evaluation of the accumulated dose in human lungs with internal irradiation with 99mTc in a group of healthy volunteers with different body weights.|Safety of inhalation 99mTc-pertechnetate aerosol in patients with COVID-19 viral pneumonia through Adverse Event Monitoring.|Evaluation treatment standard related adverse events as assessed by CTCAE v5.0 of patients with COVID-19 viral pneumonia without inhalation procedure., Duration of new non-invasive ventilation or high flow oxygen use (measured by days)|Clinical status on a 7-point ordinal scale (from 1=death to 7=not hospitalized|The percentage change in cytokine levels from screening through day 10, Day 17 and Day 24|The percentage change in oxygen requirements including PEEP and FiO2 from screening through day 10.|The percentage of subjects that required mechanical ventilation during the treatment period.|The percent of patients with a SOFA score between 0-6 during treatment period.|The percent of mortality during the treatment period.|Evaluate the need, dosage and duration of vasopressors (number of days and average daily dose).|Number of Days fever free (defined by temperature of <100°F (oral) for 24 hours)|To evaluate the average number of days in the ICU|To evaluate the average number of days in the hospital|To evaluate the number of days with a PO2/FiO2 <300 or other parameters decided on with oxygen|The risk of coagulopathy by measuring Prothrombin time & Partial Thromboplastin time|The risk of coagulopathy by measuring D-Dimer|The risk of coagulopathy by measuring Platelet Counts, Clinical and demographic predictors of disease severity among hospitalized COVID-19 patients.|Clinical and demographic predictors of mortality among hospitalized COVID-19 patients., Adverse events, serious adverse events, and deaths|AUC0-7 of Anti SARS CoV-2 antibodies|Neutralization activity"
"Covid19|Pneumonia, Viral|Pulmonary Embolism",Incidence of acute pulmonary embolism|Distribution of acute pulmonary embolism|Pulmonary embolism clot burden|Association of pulmonary embolism with ground glass opacity|Clinical outcome|D-dimers|PO2|SaO2|CRP|Thrombocytes|ICU admission|Alveolar opacity|Vascular congestion|Vascular volume|Vein-to-artery ratio
Covid19|Pneumonia|Coagulation Disorder|Pulmonary Embolism,low molecular weight heparin (enoxaparin) and ventilatory support time|thrombotic complications and Rivaroxaban|low molecular weight heparin (enoxaparin) and length of hospital stay|low molecular weight heparin (enoxaparin) and mortality rate
Covid19|Pneumonia|Cytokine Release Syndrome|Corona Virus Infection|Viral Infection,Treatment Success at day 14|Change in WHO Clinical Progression Score|Time to ICU admission|Incidence of Adverse Events|Length of hospital stay|All-cause Mortality
Covid19|Pneumonia|Multiple Organ Failure|Corona Virus Infection,Clinical improvement|Lung damage improvement|Sars-Cov-2 viral infection laboratory test|Blood test
Covid19|Pneumonia|Surfactant Protein Deficiency,"Meassuring the serum surfactant protein D levels in patient who have Covid-19 infection or pneumonia.|Analyzing the correlations between serum surfactant protein D levels and demographic,laboratory, clinical and radiological datas."
"Covid19|Pneumonia|Thrombosis|Thromboembolism|Anticoagulants; Increased|ARDS, Human","Mortality|ICU, hospital and 90-day mortality|Ventilator-free days and alive at day 28|ICU length of stay|Hospital length of stay|Proven deep vein thrombosis (DVT)|Incidence of gastrointestinal bleeding|Development of acute kidney injury (AKI)|Incidence of tracheostomy|Use of renal replacement therapy (RRT)|Proven pulmonary embolism (PE)"
Covid19|Post Traumatic Stress Disorder|Anxiety,"Post traumatic syndrome evaluated thanks to the Revised impact event scale (IES-R)|Anxiety level at day 7, assessed using the Hospitalized Anxiety and Depression Scale-(HADS)|Depression level at day 7, assessed using the Hospitalized Anxiety and Depression Scale|Anxiety level at day 30, assessed using the Hospitalized Anxiety and Depression Scale (HADS)|Depression level at day 30, assessed using the Hospitalized Anxiety and Depression Scale (HADS)|Description of socio-demographic factors|Description of clinical factors"
Covid19|Post-COVID-19 Syndrome,Changes in subject clinical status|Changes in cardiovascular fitness: Maximal oxygen consumption (VO2max)|Changes in neuromuscular performance during resistance exercise: Barbell Mean Propulsive Velocity (MPV)|Changes in balance: center of pressure (COP) sway|Changes in pulmonary function: Forced Vital Capacity (FVC)|Changes in pulmonary function: Forced expiratory volume (FEV)|Changes in high sensitivity C-reactive protein (hsCPR)|Changes in D-dimer|Changes in Troponin|Changes in glutamic-pyruvic transaminase (GPT)|Changes in serum creatine kinase (CK)|Changes in lactate dehydrogenase (LDH)|Changes in physical activity levels|Changes in tolerance to exercise: DePaul Symptom Questionnaire for Post-exertional malaise (DSQ-PEM) scores|Changes in fatigue: Chalder Fatigue Scale scale (CFQ-11)|Changes in anxiety: Generalized Anxiety Disorder scale (GAD7)|Changes in depression: Patient Health Questionnaire (PHQ9)|Changes in health related quality of life: 12-item Short Form Survey (SF12)
Covid19|Postmortem Changes,The level of histopathological changes
Covid19|Povidone Iodine Adverse Reaction,"Number of participants with treatment-related adverse events as assessed by self reporting, metabolic and endocrine metrics|Number of participants with dose dependent side effects determined by self reporting diaries, thyroid and metabolic testing"
Covid19|Pregnancy Complications|Premature Rupture of Membrane|Abruptio Placentae|Prelabor Rupture of Membranes|Stillbirth,MATERNAL COMPLICATIONS|NEONATAL INFECTION
Covid19|Pregnancy Related,Perinatal SARS-CoV-2 infection
Covid19|Pregnancy Related|Antibody Response,Presence of COVID-19 IgG antibodies by immunoassay in maternal and cord blood samples.
Covid19|Pregnancy Related|Maternal Complication of Pregnancy|Coronavirus|Neonatal Infection|Prenatal Stress|Preterm Birth,Rate of preterm delivery|Rate of preeclampsia|Rate of gestational hypertension|Rate of cesarean section|Rate of stillbirth|Rate of fetal growth restriction|Rate of fetal hydrops|Rate of oligohydramnios|Perinatal death|Rate of premature preterm rupture of membranes|Rate of neonatal intensive care unit (NICU) admission|Rate of neonatal sepsis|Rate of oxygen therapy|Percentage of infants with low 5-minute Apgar|Percentage of infants with abnormal umbilical cord gas|Low birth weight|Confirmed congenital infection|Probable congenital infection|Possible congenital infection
Covid19|Pregnancy Related|Neonatal Infection,Vertical transmission|Neonatal protection due to maternal antibodies|Increase risk of neonatal morbidity|Increase risk of obstetric complications
Covid19|Progression,Number of Participants With Progression|Viral Clearance
Covid19|Prophylaxis,Survival Rates|Contraction Rates
"Covid19|Psychiatric Problem|Isolation, Social",Change of PHQ-9 (Patient Health Questionnaire-9)|Change of GAD-7 (Patient Health Questionnaire-9)|Change of PC-PTSD-5 (Primary Care PTSD Screen for DSM-5)|Change of AIS (Athens Insomnia Scale)|Change of P4 (P4 Suicidality Screener)|Change of SF-36 (Short Form Health Survey Questionnaire)|Change of SCL-90-R
Covid19|Pulmonary Disease,In-Ear vs finger SpO2
Covid19|Pulmonary Embolism,"optical coherence tomography pulmonary microthrombosis assessment in COVID-19 pneumonia patients|Pulmonary artery vessel anatomy characterization|Correlation between TTE pulmonary hypertension and right ventricular disfunction|Correlations with standard inflammatory, coagulation and tissue damage, Number of pulmonary embolism cases related to COVID-19.|Severity, distribution of pulmonary embolism as determined by calculated Qanadli score.|Presence of right heart strain associated with pulmonary embolism."
Covid19|Pulmonary Fibrosis Interstitial,Clinical status|Pulmonary fibrosis at week 2|Pulmonary fibrosis at 45 days|C-reactive protein|Ferritin|Erythrocyte sedimentation rate|Lactate dehydrogenase|Adverse events|Pulmonary function test: FVC|Pulmonary function test: FEV1
Covid19|Pulmonary Fibrosis|Organising Pneumonia|Thromboembolism,Post COVID 19 infection development of respiratory failure|Pathology of long term lung complications in COVID 19|Risk factors for thromboembolic disease
Covid19|RSV Infection|Influenza Type A|Influenza Type B,"Collection of Nasal Swabs, Throat Swabs and Saliva Samples across a range of demographics."
Covid19|Rapid Antigen Test|SARS-CoV-2,Sensitivity and specificity of the rapid antigen test of COVID-19|Economic analyses|PCR analysis on nasopharyngeal swabs
Covid19|Rehabilitation,Exercise Capacity|Dyspnea Assessment|Quality of Life Assessment|Anxiety and Depression
Covid19|Respiratory Disease,impact on functionality
Covid19|Respiratory Disease|Critical Illness,Death in ICU|Days in ICU|Mechanical ventilation days|Days of mechanical ventilation rescue measures|APACHE II score on admission|SOFA score|In hospital death
Covid19|Respiratory Disease|Immune System|Immunomodulator|Antiseptic|Supportive Care,Clinical Improvement|Time to semirecover|Symptom resolution|Time to recovery|Cumulative assessment of disease severity|Duration of SARS-CoV-2 PCR positivity|Concentration of C-reactive protein in peripheral blood|Incidence of hospitalization|Duration (days) of hospitalization|Incidence of mechanical ventilation supply|Incidence of oxygen use|Duration (days) of oxygen use|Mortality rate
Covid19|Respiratory Disease|Mental Health Disorder,Six minute walk distance|Impact on overall health by respiratory diseases assessed by the score of the St. George's respiratory questionnaire (SGRQ)|Depressive symptomatology assessed by the Patient Health Questionnaire (PHQ-9)|Anxious symptoms assessed by the Generalized Anxiety Disorder (GAD-7) questionnaire|Quality of life assessed by the Short Form Health Survey (SF-36) questionnaire|Quality of life assessed by the Health-Related Quality of Life (EQ-5D) questionnaire|Forced expiratory volume in the first second|Forced Vital Capacity|Post-traumatic stress disorder symptomatology assessed by the Impact of Event Scale Revised (IES-R) questionnaire.
Covid19|Respiratory Failure,"Adverse Events, Alive and Ventilator Free Score, Average S/F ratio|Time spent with S/F ratio < 315|Highest oxygen support|Number of patients requiring ICU admission during study period|Number of patients requiring ICU admission during hospitalization|Number of patients experiencing who die prior to discharge|Number of patients requiring intubation|Hospital length of stay, Improvement in pulmonary gas exchange|Requirement for mechanical ventilation|Mortality|Requirement for supplemental oxygen|Duration of ICU Stay|Length of hospitalization|Adverse events|Inhalation adverse events"
"Covid19|Respiratory Function Loss|Coronavirus Infection|Pneumonia, Viral",Change in Peak Expiratory Flow (PEF)|Forced Expiratory Volume (FEV1)|Forced Vital Capacity (FVC)|Mortality
Covid19|Respiratory Muscle Training|Respiratory Function Test|Quality of Life|Psychosocial Factor,Health-related quality of life|Exercise tolerance|Maximum respiratory pressures|Inspiratory muscle endurance|Upper limb muscle strength|Lung function (forced spirometry)|Cognitive factors|Lower limb muscle strength|Psychological factors
Covid19|Respiratory Rehabilitation|Cross-sectional Study|Cohort Study,Symptoms and signs|Respiratory function|The body function|ADL
Covid19|Respiratory Tract Infections|Severe Acute Respiratory Syndrome|Corona Virus Infection|RNA Virus Infections|Virus Disease|Respiratory Tract Disease,Estimation of prevalence of specific anti-SARS-CoV-2 IgM and IgG antibodies in general population.|Frequency of asymptomatic course of COVID in individuals with anti-SARS-CoV2 antibodies
Covid19|Rheumatic Diseases,Prevalence of COVID 19|Mortality rates from COVID 19|Health related quality of life - Short Form 12
Covid19|Rheumatic Diseases|Rheumatoid Arthritis|SLE,Frequency and grade of each solicited local and systemic adverse events (AEs)|Frequency and grade of any unsolicited AEs (including 'significant disease flares'*)|Geometric mean titer (GMT) of antibody|Percentage of patients who seroconverted|Geometric mean fold rise (GMFR) in IgG titer
Covid19|Rheumatic Fever|Mental Disorder,"Change from Baseline stress level according to 10-item Perceived Stress Scale (PSS-10) at 3 months and 6 months after inclusion|Proportion of patients affected by depression according to 9-item Patient Health Questionnaire (PHQ-9)|Proportion of patients affected by anxiety symptoms according to State-Trait Anxiety Inventory questionnaire|Proportion of patients affected by post-traumatic stress disorder symptoms according to Post-traumatic stress disorder Check-List Scale (PCL-S) questionnaire|Evaluation of tobacco consumption evolution compared to the pre-COVID19 pandemic (less, same or more)|Evaluation of alcohol consumption evolution compared to the pre-COVID19 pandemic (less, same or more)|Evaluation of drugs consumption evolution compared to the pre-COVID19 pandemic (less, same or more)|Evaluation of CIR treatments compliance continuation compared to the pre-COVID19 pandemic (without any modification, intensification, diminution, discontinuation).|Evaluation of chronic inflammatory rheumatism activity scores using Visual Analog Scale (VAS)|Evaluation of the impact of COVID-19 diagnostic on the stress level according to 10-item Perceived Stress Scale (PSS-10)|Evaluation of the impact of COVID-19 diagnostic on CIR activity using Visual Analog Scale (VAS)|Levels of pro-inflammatory cytokines in sera of CIR patients"
Covid19|Rheumatoid Arthritis,"Hospitalization rates for COVID-19|Critical care transfer rate for COVID-19 and death due to COVID-19|Pulmonary comorbidities, corticosteroids or DMARDs use|Age|Number of Participants with co-morbidities|Type of clinical presentation|Type of associated treatments"
Covid19|Right Ventricular Dysfunction|ARDS,"The prevalence of RV dysfunction in ventilated patients with COVID-19|Association of RV dysfunction with 30-day mortality.|Association of ARDS and RV dysfunction|Association of micro/macro thrombi and RV dysfunction|The association of direct myocardial injury and RV dysfunction|The association of ventilation and RV dysfunction|Association of ARDS and 30-day mortality|Association of micro/macro thrombi and 30-day mortality|Association of direct myocardial injury and 30-day mortality|Association of ventilation and 30-day mortality|The difference in NP levels between patients with, and patients without, RV dysfunction.|The difference in hsTn between patients with, and patients without, RV dysfunction.|Association between hsTn and 30-day mortality in patients with, and patients without, RV dysfunction|Association between NP levels and 30-day mortality in patients with, and patients without, RV dysfunction"
Covid19|Risk Reduction|Stress|Sleep,Frequency of lower-risk activities|Frequency of higher-risk activities|Frequency of social activities|Frequency of physical activities|Frequency of hiking/nature walks|Frequency of restaurant dining|Stress|Sleep
Covid19|SARS (Disease),"COP Assessment Test Scale (CAT)|1min sit-to-stand test|O2 desaturation|Visual Analogical Scale (VAS)|All-cause mortality|Number of visits to primary care|Number of visits to the emergency room|Number of hospital admissions.|Medication side effects|Days of sick leave|Factors of inflamatory and prothrombotic processes: D-Dimer, N-terminal prohormone of brain natriuretic peptide (NT Pro-BNP), C-reactive protenin and Antinuclear antibodies (ANA)"
Covid19|SARS (Severe Acute Respiratory Syndrome),"Treatment efficacy of Proxalutamide relative to standard of care arm as assessed by the COVID-19 ordinal scale, Pearson's Chi-square and proportion test.|Odd Ratio, probabilistic test|Logistic regression test, Percentage of individuals who develop COVID-19 symptoms, Proportion test|Odd Ratio|Odd Ratio and logistic regression test"
Covid19|SARS (Severe Acute Respiratory Syndrome)|Corona Virus Infection,COVID-19 Prevalence Rate / Expected Values counts|COVID-19 Prevalence Rate / Expected Values percentages|Collection Performance/ Incidence Rate counts|Collection Performance/ Incidence Rate percentages|Sensitivity and specificity
"Covid19|SARS (Severe Acute Respiratory Syndrome)|SARS Pneumonia|SARS-Associated Coronavirus as Cause of Disease Classified Elsewhere|Pneumonia|Pneumonia, Viral",Progression to severe/critical disease within 29 days of first dose of study treatment|Proportion of subjects transferred into the intensive care unit (ICU) or who died prior to Day 29|Total number of calendar days hospitalized through Day 29
Covid19|SARS (Severe Acute Respiratory Syndrome)|SARS-CoV Infection,Change from baseline on quality of life assessed by the SF-36 health survey questionnaire at 12 weeks.|Change from baseline on fatigue evaluated by the fatigue severity scale at 12 weeks.|Change from baseline on lipid profile at 12 weeks.|Change from baseline on insulin sensitivity at 12 weeks.|Change from baseline on inflammatory cytokine IL-1 at 12 weeks.|Change from baseline on inflammatory cytokine IL-1ra at 12 weeks.|Change from baseline on inflammatory cytokine IL-6 at 12 weeks.|Change from baseline on inflammatory cytokine IL-10 at 12 weeks.|Change from baseline on inflammatory cytokine TNF-alpha at 12 weeks.|Change from baseline on C-reactive Protein at 12 weeks.|Change from baseline on Creatine Kinase at 12 weeks.|Change from baseline on cardiopulmonary fitness assessed by a maximal exercise test at 12 weeks.|Change from baseline on lean body mass assessed by Dual-energy absorptiometry at 12 weeks.|Change from baseline body fat assessed by Dual-energy absorptiometry at 12 weeks.|Change from baseline on waist circumference at 12 weeks.|Change from baseline on hip circumference at 12 weeks.|Change from baseline on body weight at 12 weeks.|Change from baseline on muscular strength assessed by handgrip test at 12 weeks.|Change from baseline on muscular function assessed by Timed-Stand Test at 12 weesks.|Change from baseline on muscular function assessed by Timed-Up and Go Test at 12 weeks.|Change from baseline on anxiety symptoms assessed by Back Scale at 12 weeks.|Change from baseline on depression symptoms assessed by Back Scale at 12 weeks.|Change from baseline on functional status assessed by Post-COVID-19 Functional Status (PCFS) Scale at 12 weeks.|Change from baseline on physical activity levels evaluated by the International Physical Activity Questionnaire at 12 weeks.|Change from baseline on resting blood pressure assessed by an automated device at 12 weeks.
Covid19|SARS (Severe Acute Respiratory Syndrome)|SARS-CoV Infection|SARS-CoV-2,Number of Participants with a First Occurrence of COVID-19 Starting 14 Days after Second Dose of OPV with or without NA-831|Number of Participants with Adverse Events (AEs) or Medically Attended AEs (MAAEs) Leading to Withdrawal|Number of Participants with a First Occurrence of Severe COVID-19 Starting 14 Days after Second Dose of OPV with or without NA-831|Number of Participants with a First Occurrence of COVID-19 Starting 14 days after Second Dose of OPV with or without NA-831 or Placebo regardless of evidence of prior SARS-CoV-2 Infection
Covid19|SARS CoV-2,"Assess the performance of the BD Veritor System for Rapid Detection of SARS-CoV-2 compared viral culture, over multiple collection time points|Assess the performance of the BD Veritor System for Rapid Detection of SARS-CoV-2 compared to a commercially available RT-PCR asay, over multiple collection time points|Assess the performance a commercially available RT-PCR assay compared to viral culture, over multiple test time points"
Covid19|SARS-Associated Coronavirus,"Rate of fluvoxamine, ivermectin and metformin in changing the need for emergency care AND observation for more than 06 hours due to the worsening of COVID-19;|Rate of fluvoxamine, ivermectin and metformin in changing need for Hospitalization due to COVID-19 related complications, including lower respiratory tract infection (LRTI)|Change in viral load on day 03 and 07 after randomization (first 600 enrolled participants)|Time to clinical changes (up to 28 days of randomization), defined as greater than 50% symptoms changing in reference to baseline symptoms)|Time to clinical failure, defined as time to need for hospitalization due to the clinical progression of COVID-19|Number of days with respiratory symptoms since randomization|Rate of all-cause hospitalizations|Rate of COVID-19 related hospitalizations|All-Cause Death|Cardiovascular death|Respiratory death|Health and Functioning after COVID-19 disease|WHO ordinal scale for clinical improvement|Adverse Events|Adherence of Study drug"
Covid19|SARS-Associated Coronavirus as Cause of Disease Classified Elsewhere,"SARS-COV2 seroconversion between W0 and W19 after randomization|Proportion of documented symptomatic COVID-19 infection|SARS-COV2 seroconversion|Asymptomatic COVID-19 infection proportion at week 14|Proportion of severe COVID-19 infection|Number of sick leaves for a COVID-19 infection|Number of days off during sick leaves for a COVID-19 infection|Proportion of AE, SAE|Intensity and frequency of nausea, dizziness, feeling of empty head, headache, vomiting|Proportion of active smoker or active vapers or taking nicotine substitutes documented by examination|Proportion of active smoker or active vapers or taking nicotine substitutes documented by urinary cotinine|Mean score of Desire to smoke defined by French Tobacco Craving scale|Mean score of Withdrawal symptoms scale|Dosage of cotinine in the urine|Mean score of Fatigue Numeric rating scale|Weight|Mean score of Hospital anxiety and depression scale|Mean score of Insomnia severity scale|Positive and negative syndrome scale, Mortality|Time before successful extubation|Number of days living without invasive mechanical ventilation|Composite score incorporating death and the number of days living without mechanical ventilation|Mean evolution of blood gases|Mean evolution of Tidal Volume (ventilator parameters)|Mean evolution of respiratory rate (ventilator parameters)|Mean evolution of Positive Expiratory Pressure (ventilator parameters)|Mean evolution of plateau pressure (ventilator parameters)|Mean evolution of fraction of inspired oxygen (ventilator parameters)|Evolution of the Sequential Organ Failure Assessment (SOFA) score and its components by organ|Number of days alive without organ failure|Duration of hospitalization in intensive care unit|Duration of hospitalization in hospital|Number of days alive and out of the ICU and hospital|Evolution of viral load|Proportion of active smoker or active vapers or taking nicotine substitutes documented by examination|Proportion of active smoker or active vapers or taking nicotine substitutes documented by urinary cotinine|Mean score of Desire to smoke defined by French Tobacco Craving scale|Mean score of Withdrawal symptoms scale|Mean score of Hospital anxiety and depression scale|Post traumatic stress disorder scale|Mean score of Insomnia severity scale|Cotinin rate in blood"
Covid19|SARS-COV-2 Infection,Percentage of subjects with COVID-19|Percentage of subjects with hospitalization|Percentage of subjects who experience intensive care unit (ICU)
Covid19|SARS-COV2 Infection,Arterial Oxygenation|Alveolo-arterial gradient|Intensive care unit admission|Noninvasive Mechanical Ventilation or Requirement of High-Flow Nasal Cannula|Invasive mechanical ventilation|Survival
Covid19|SARS-CoV 2|Coronavirus Infection,SARS-CoV 2 infection rate
